x_coordinate,y_coordinate,z_coordinate,brightness,distance,spectral_intensity,texture_1,texture_2,texture_3,texture_4,class
0.5721457846623053,0.19302163406710626,0.8121987934269024,0.34351201688723465,0.36626684210668503,0.6683599338119168,0.2808824101161582,0.042479167303508536,0.38813094700004225,0.5479646180869897,2
0.6183651046442635,0.45169354257659444,0.12646714245376878,0.16568155825307174,0.5611064655006238,0.6929602600879615,0.7576512408773268,0.9091568041562048,0.8087858716021813,0.18116287590888536,1
0.2738451348923219,0.5237768052799273,0.13810051951811475,0.1130715208127796,0.9655528073944729,0.476539518632649,0.278720812495876,0.8892764297947159,0.7959992972281652,0.13347199208183758,1
0.7574960481311452,0.8112571982506973,0.19422359705790693,0.711535955215648,0.6971569528431761,0.20383560278180113,0.1642124184722773,0.04232313948081956,0.7037495449506657,0.4019601370936591,2
0.5135389010062655,0.9880045498398553,0.8559023915541122,0.0172370766078368,0.3326874451103846,0.9931012754374963,0.8366313297057135,0.372208706335884,0.8994134760367193,0.48834968134206913,2
0.42226750403816216,0.11390296841729153,0.36218302638412336,0.8401921719950871,0.3160091407793054,0.28696728927431014,0.17898548429466588,0.37806211918451416,0.5523134321733915,0.722743382727281,2
0.7199622397266742,0.23849848950707198,0.7130274083827361,0.8932151477140434,0.04816600511690017,0.14400866528166878,0.4866588299341631,0.1005827565692704,0.05438395943956542,0.6925060511131936,1
0.2591805480642644,0.9358106702132657,0.11225420067640646,0.5475044387977779,0.44896728667619423,0.23400973869092034,0.0878839938178565,0.7861952854640565,0.26753735060476036,0.04051409443351994,0
0.0989475854338735,0.9528857171975074,0.5254891442047794,0.3498080929176155,0.11420317765515453,0.22105802377525519,0.47711232138554804,0.14812434546329145,0.77689902868386,0.9368730069088109,2
0.11844788258021688,0.18034151621479055,0.5900490942391521,0.8007401215363301,0.8663347053566858,0.43618428452480584,0.45362994158823977,0.8831515331839506,0.44958624232945,0.25463867529020145,0
0.6163303781797379,0.16532862200932807,0.33529373721951483,0.7712977932634318,0.8419497008797654,0.26548515285220364,0.8342017728835768,0.16570533935918919,0.3775357576169287,0.5853033213189541,2
0.24491727245278694,0.1289040085177825,0.5821669386987055,0.6240580184468807,0.9140489323968192,0.5991502870104892,0.8045281563419276,0.3867727785029511,0.829330942934449,0.19597353723350774,1
0.6217541730805176,0.564392428783556,0.4392420697645132,0.7571388238806559,0.43019946983314983,0.20440431244192137,0.3331842744502085,0.6632034570467008,0.14823238222936408,0.6600602477820117,0
0.23347989914323675,0.8492241954150934,0.8486336909040264,0.6048095710946096,0.4885037990182135,0.7029852542483717,0.5382093087843165,0.8133069058274016,0.1844568271462037,0.08236868548043719,2
0.5531594263092857,0.17433164361517128,0.9920432313091225,0.8761726049976007,0.00022641868807748988,0.4929567269755164,0.5406838127220503,0.4957203894363278,0.9419309248618201,0.8133859872821272,1
0.662635120230947,0.6971451806843264,0.934663568422977,0.05227645232552125,0.0867479884726875,0.03670171279016887,0.877859448216809,0.1279296310545569,0.8739472705719932,0.48475011792690403,1
